FarmOwnership,Hectares,SeedPrice,HiredLabor,FamilyLabor,AvgWage,Region
Farmer,3,80,2875,40,68.49,wargabinangun
Farmer,2,70,2110,45,60.09,wargabinangun
Farmer,1,140,980,95,51.99,wargabinangun
Farmer,2,90,2081,10,56.98,wargabinangun
Farmer,0.214,150,40,69,53.75,wargabinangun
Farmer,0.1,50,10,108,56.67,wargabinangun
Farmer,0.286,50,100,63,38,wargabinangun
Farmer,0.07,70,23,57,47.83,wargabinangun
Farmer,0.086,250,15,61,158,wargabinangun
Farmer,0.086,350,15,39,121.67,wargabinangun
Farmer,0.286,60,32,233,47.06,wargabinangun
Farmer,0.286,60,32,231,52.17,wargabinangun
Farmer,0.284,80,65,65,53.15,wargabinangun
Farmer,0.357,150,1,350,52.5,wargabinangun
Farmer,0.357,150,1,178,147.64,wargabinangun
Farmer,0.357,100,1,92,145.45,wargabinangun
Farmer,0.286,100,75,55,54,wargabinangun
Farmer,0.357,200,36,140,102.78,wargabinangun
Farmer,0.357,300,35,85,125.71,wargabinangun
Farmer,0.27,70,100,284,47.06,wargabinangun
Farmer,0.27,70,50,204,56,wargabinangun
Farmer,0.28,80,302,81,51.32,wargabinangun
Farmer,0.286,80,295,85,52.37,wargabinangun
Farmer,0.179,250,115,177,166.96,wargabinangun
Farmer,0.129,250,90,113,147.78,wargabinangun
Farmer,0.086,250,20,88,135,wargabinangun
Farmer,0.082,350,20,56,135.45,wargabinangun
Farmer,0.18,60,101,35,44.08,wargabinangun
Farmer,0.888,50,510,55,52.16,wargabinangun
Farmer,0.377,70,160,207,58.75,wargabinangun
Farmer,0.371,100,110,60,61.82,wargabinangun
Farmer,0.681,150,110,103,131.82,wargabinangun
Farmer,0.281,150,50,98,140,wargabinangun
Farmer,0.143,80,70,86,55.71,wargabinangun
Farmer,0.129,350,8,91,153.13,wargabinangun
Farmer,0.129,350,8,78,165.63,wargabinangun
Farmer,0.357,80,310,89,52.88,wargabinangun
Farmer,0.357,100,230,199,52.17,wargabinangun
Farmer,0.355,75,229,44,54.15,wargabinangun
Farmer,0.357,90,62,58,68.39,wargabinangun
Farmer,0.157,300,1,135,147.64,wargabinangun
Farmer,0.157,300,1,109,125.45,wargabinangun
Farmer,0.357,90,208,20,59.66,wargabinangun
Farmer,0.357,250,235,30,149.68,wargabinangun
Farmer,0.357,250,200,15,152.75,wargabinangun
Farmer,0.714,70,425,58,46.3,wargabinangun
Farmer,0.714,70,385,53,37.66,wargabinangun
Farmer,0.355,80,430,20,50.7,wargabinangun
Farmer,0.536,150,380,91,54.21,wargabinangun
Farmer,0.643,268.75,300,180,153.5,wargabinangun
Farmer,0.643,225,331,44,156.59,wargabinangun
Farmer,1.428,150,1054,131,148.1,wargabinangun
