Country,GiniCoefficient,GDPPerCapita,EduPercGovSpend,EduPercGDP,CompulsoryEducationYears,CorruptionIndex,DaysToOpenBusiness
Albania,33.03,2911.9,0.0843,,8,2.4,39
Algeria,35.33,3440.3,0.2205,,9,2.8,24
Angola,58.64,2686.36,0.0635,0.028,4,2,124
Argentina,51.32,5471.76,0.1202,0.04,9,2.8,32
Armenia,33.8,2130.13,,0.032,11,2.9,24
Australia,35.19,37433.85,0.1332,0.049,11,8.8,2
Austria,29.15,39131.37,0.1083,0.057,9,8.7,29
Azerbaijan,16.83,2374.4,0.1958,0.032,11,2.2,53
Bangladesh,33.22,429.26,0.1424,0.024,5,1.7,37
Belarus,27.92,3802.54,0.1133,0.06,9,2.6,69
Belgium,32.97,37384.34,0.1185,0.063,13,7.4,27
Benin,38.62,549.25,0.1414,0.033,6,2.9,31
Bhutan,46.83,1433,0.1286,0.052,11,,62
Bolivia,58.19,1194.58,0.1806,0.063,8,2.5,50
Bosnia and Herzegovina,35.78,2890.07,,,,2.9,54
Botswana,60.96,5875.09,0.2155,0.022,10,5.9,108
Brazil,55.02,5659.74,0.1086,0.042,8,3.7,152
Bulgaria,29.24,4089.22,,0.035,8,4,32
Burkina Faso,39.6,456.73,0.1664,,10,3.4,34
Burundi,33.27,102.97,0.1773,0.039,6,2.3,43
Cambodia,41.85,501.2,0.1465,0.018,6,2.3,86
Cameroon,44.56,1098.31,0.0857,0.038,6,2.2,37
Canada,32.56,38439.78,0.1246,0.052,11,8.4,3
Cape Verde,50.52,2207.15,0.2544,0.079,6,,52
Central African Republic,43.57,362.86,,,6,,14
Chad,39.78,654.99,0.1012,,6,1.7,75
Chile,52,8864.73,0.1847,0.042,9,7.3,27
China,46.9,2033.9,0.1297,,9,3.2,35
Colombia,58.49,2981.74,0.1106,0.052,8,4,44
Comoros,64.3,657.06,0.2412,0.039,8,,23
"Congo, Republic of the",44.43,1799.01,0.0809,0.032,,2.3,71
Costa Rica,47.23,5046.9,0.1853,0.051,10,4.2,77
Côte d'Ivoire,44.58,946.73,0.216,0.046,,1.9,45
Croatia,28.99,9611.68,0.0999,0.045,8,3.4,45
Czech Republic,25.82,13877.02,0.0851,0.044,10,4.3,24
Denmark,24.7,50702,0.1508,0.085,10,9.5,5
Djibouti,39.96,939.66,0.2732,,6,,37
Dominica,49.97,4141.34,,,13,,19
Dominican Republic,49.97,3180.89,0.097,0.023,10,3,73
Ecuador,54.37,3041.85,0.0801,0.01,10,2.5,65
Egypt,32.14,1425.58,,,,3.4,19
El Salvador,49.7,2618.26,0.2,0.029,9,4.2,26
Equatorial Guinea,43.34,16630.43,0.0401,0.006,5,1.9,136
Estonia,36,12236.6,0.1544,0.057,9,6.4,35
Ethiopia,29.76,183.13,0.194,0.046,6,2.2,16
Finland,26.88,39855.93,0.1282,0.064,10,9.6,14
France,32.74,36546.72,0.1103,0.056,11,7.5,8
Gabon,41.45,6790.59,0.0961,0.039,11,2.9,60
"Gambia, The",47.28,328.89,0.0895,0.028,,2.7,27
Georgia,40.78,1701.84,0.1314,0.022,9,2.3,16
Germany,28.31,35270.36,0.0972,0.046,13,8.2,24
Ghana,42.76,572.77,,,8,3.5,81
Greece,34.27,22041.9,0.0798,0.04,9,4.3,38
