CancelledService,AccountWeeks,RecentRenewal,DataPlan,DataUsage,CustServCalls,AvgCallMinsPerMonth,AvgCallsPerMonth,MonthlyBill,OverageFee
0,164,1,1,3.86,1,219.1,88,89.6,7.58
1,177,0,0,0,1,248.7,118,57,8.62
0,132,1,0,0.31,1,191.9,107,54.1,10.35
1,70,1,0,0,0,232.8,95,66,15.17
0,81,1,1,3.29,1,161.6,117,70.9,6.15
0,70,1,0,0,1,222.8,114,57,10.8
0,66,1,0,0,1,201.3,95,48,7.64
0,133,1,0,0,0,201.7,85,49,8.47
1,54,1,0,0,1,272.6,83,68,12.44
1,101,1,0,0,4,158.4,92,43,9.4
1,63,1,0,0,4,278,102,70,13.32
1,87,1,0,0,5,151,83,45,10.99
0,51,1,0,0,0,214.8,94,50,7.49
0,75,1,1,0.68,1,200.6,96,55.8,8.21
0,84,1,0,0,1,159,80,42,8.4
1,44,1,0,0.21,3,288.1,112,73.1,12.9
1,35,1,0,0,5,138.1,115,37,7.91
0,116,1,1,1.89,2,204.7,118,71.9,10.47
0,125,1,1,1.46,1,201.3,117,52.6,2.11
0,42,1,1,2.19,0,163.8,80,64.9,8.89
1,94,1,0,0,4,157.9,105,41,7.75
0,86,1,0,0.34,1,166.2,112,53.4,12.77
1,111,1,0,0,4,176.9,128,39,5.14
1,62,1,0,0,1,248.7,109,61,11
0,90,1,0,0,2,102,118,27,5.67
1,100,1,0,0.32,0,278,76,66.2,8.84
1,76,1,0,0,0,272.7,97,67,11.82
1,146,1,0,0,7,149.3,83,42,9.36
0,162,1,0,0.28,2,115.1,89,39.8,9.84
1,182,1,0,0,2,279.1,124,63,9.03
1,27,1,0,0.36,2,226.3,95,65.6,13.72
0,144,1,0,0,2,139.6,96,35,6.21
0,137,1,0,0,3,110.5,79,38,11.16
1,99,0,0,0,0,242.3,102,72,17.55
0,64,1,0,0.29,1,162.6,83,43.9,7.62
0,97,1,0,0,1,146,121,43,10.15
1,93,0,0,0,1,216.9,61,55,10.37
1,126,1,1,3.46,4,153.4,90,73.6,7.57
1,130,0,0,0,5,216.2,106,68,18.19
0,68,1,0,0.11,3,222.8,99,54.1,8.79
1,115,0,0,0,1,345.3,81,76,10.17
0,115,1,1,1.22,0,155.2,110,59.2,11.55
1,112,1,0,0,3,272.5,119,66,11.31
1,103,1,1,3.75,4,110.5,101,74.5,10.42
0,164,1,1,2.59,3,159.7,102,67.9,8.44
1,94,1,0,0,3,271.2,105,64,10.13
0,70,1,1,2.65,1,249.5,101,91.5,12.99
1,83,1,0,0,0,337.4,120,77,11.37
0,125,1,1,2.78,0,268.4,112,92.8,11.11
0,109,1,0,0.31,3,180,100,54.1,11.45
0,66,1,0,0,1,118,133,42,12.41
0,106,1,0,0,3,213.9,95,50,7.6
1,100,1,0,0,4,113.3,96,37,9.9
0,58,1,1,2.27,0,178.1,111,73.7,11.84
1,73,1,0,0,1,217.8,91,56,11.03
1,76,0,0,0,0,246.8,110,60,10.32
0,106,1,0,0,1,158.7,74,33,3.22
0,88,1,0,0,2,189.8,111,50,9.87
0,142,1,0,0,1,145.4,93,43,10.46
1,126,1,0,0,3,249.8,96,65,13.1
1,58,1,0,0,0,112.2,95,37,10.48
0,75,1,1,3.35,1,130.9,115,73.5,10.17
1,125,1,0,0,0,240.7,82,64,13.47
1,122,0,0,0,0,230.9,132,60,12.16
0,37,1,0,0,0,206,89,51,9.3
1,73,1,0,0,1,286.4,109,64,8.91
0,90,1,0,0,1,175.9,111,55,14.26
1,116,1,0,0,0,288,120,71,12.79
1,117,1,0,0.39,5,118.4,126,45.9,12.47
1,60,1,0,0,1,179.3,147,49,10.45
0,156,1,0,0,1,237.7,122,56,9.08
1,122,1,1,3.65,1,174.9,103,87.5,12.41
0,135,1,1,3.94,2,197.1,113,95.4,12.97
1,77,0,1,3.21,0,103.2,117,70.1,11.82
1,119,0,1,2.35,5,160,95,69.5,10.48
1,68,0,1,3.83,3,125.7,92,83.3,13.8
0,167,1,0,0,1,166.4,85,49,12.16
1,88,0,0,0,4,235.1,98,62,12.59
0,139,1,0,0,2,271.6,130,60,7.8
1,109,0,0,0,2,268.4,85,59,7.53
0,100,1,0,0,2,142.5,87,41,9.79
1,109,1,0,0,1,264.7,69,71,15.25
0,165,1,0,0.13,1,150.5,75,43.3,9.66
0,98,1,1,2.97,2,110.3,71,64.7,9.12
1,62,1,1,3,2,186.4,84,79,10.05
0,159,1,0,0.29,5,198.8,107,53.9,9.78
0,170,0,0,0,3,259.9,68,66,12.25
0,56,1,0,0,2,164.3,92,48,11.69
0,52,1,0,0,3,129.3,80,35,7.14
0,89,1,0,0,1,197.1,110,48,8.3
0,78,1,0,0,3,252.9,93,59,8.92
1,225,1,0,0.3,0,165.4,106,55,13.69
1,92,1,1,1.73,1,201.3,130,69.3,10.19
1,131,1,0,0,1,131.6,95,38,8.97
0,78,1,0,0.51,1,168.3,110,53.1,11.06
0,138,1,0,0,0,205.9,96,57,12.86
0,149,1,0,0,7,166.6,61,47,10.94
0,51,0,1,3.32,2,135.8,60,74.2,10.03
1,85,1,0,0,5,165.8,96,45,9.5
1,48,1,1,4.24,2,152,63,90.4,12.94
0,131,1,1,3.62,1,156.6,134,69.2,3.55
1,132,1,1,2.84,3,226.2,103,82.4,9.08
0,58,1,0,0,4,210.1,126,57,12.45
1,113,1,0,0,3,245.3,108,64,13
1,126,0,0,0,1,239.7,87,65,14.09
0,59,1,0,0,1,204.3,65,56,12.37
1,116,1,0,0,6,159.4,79,43,8.98
1,86,1,0,0.3,7,128.3,121,42,9.86
1,171,1,0,0,1,270.5,69,66,11.5
0,91,1,1,2.48,0,162.3,107,72.8,11.7
0,41,1,0,0,1,207.2,138,54,10.71
0,84,1,0,0,1,216.1,114,54,9.88
0,128,1,1,2.32,0,179.3,104,73.2,11.3
0,127,1,1,2.65,1,182,80,76.5,10.81
0,118,0,0,0,2,160,123,43,8.77
1,115,0,0,0,3,251.3,69,65,12.63
0,104,1,0,0,2,144.5,107,40,9.03
0,70,1,0,0,1,213.4,86,54,10.24
0,80,1,0,0,1,124.3,100,36,8.65
1,125,0,0,0,0,187.3,118,46,8.04
0,75,0,0,0.29,1,153.2,78,46.9,10.54
1,71,1,0,0,3,290.4,108,71,12.7
1,74,1,0,0,2,174.1,96,51,12.56
0,78,1,0,0,0,149.7,119,41,9.11
0,122,1,1,3.19,4,270.8,96,96.9,11.02
0,44,1,0,0,1,240.3,146,55,8.23
