CharteredBoat,CatchRate,AnnualIncome
0,0.2413,45000
0,0.1082,55000
0,0.0233,45000
0,0.0233,35000
0,0.2413,85000
0,0.0361,55000
0,0.1574,55000
0,0.1665,25000
0,0.0897,85000
0,0.0023,35000
0,0.0531,15000
0,0.1643,35000
0,0.2413,55000
0,0.2413,45000
0,0.0361,15000
0,0.0613,25000
0,0.0156,65000
0,0.1574,45000
0,0.2413,45000
0,0.2413,65000
0,0.0023,35000
0,0.0361,65000
0,0.0023,75000
0,0.2601,15000
0,0.2413,25000
0,0.1665,45000
0,0.1574,15000
0,0.6817,5000
0,0.0897,45000
0,0.0102,75000
0,0.0051,135000
0,0.0897,85000
0,0.2413,45000
0,0.0108,65000
0,0.0233,65000
0,0.0897,150000
0,0.0102,85000
0,0.0102,150000
0,0.0108,150000
0,0.0732,95000
0,0.0143,35000
0,0.0143,105000
0,0.0156,150000
0,0.2339,75000
0,0.0897,85000
0,0.2413,75000
0,0.0897,105000
0,0.0613,85000
0,0.0613,65000
0,0.2413,75000
0,0.0276,35000
0,0.1574,55000
0,0.2601,35000
0,0.0143,55000
0,0.0233,75000
0,0.0361,65000
0,0.0051,75000
0,0.2413,85000
0,0.0361,15000
0,0.0014,25000
0,0.0361,55000
0,0.1665,45000
0,0.0559,55000
0,0.2339,35000
0,0.0023,35000
0,0.1574,55000
0,0.1574,150000
0,0.2413,15000
0,0.0014,45000
0,0.2601,125000
0,0.2413,45000
0,0.0014,25000
0,0.0276,55000
0,0.2601,65000
0,0.0531,105000
0,0.2413,15000
0,0.0031,25000
0,0.1491,85000
0,0.0051,35000
0,0.0156,45000
0,0.0276,25000
0,0.0014,5000
0,0.0276,55000
0,0.1491,25000
0,0.1665,25000
0,0.0014,25000
0,0.0051,45000
0,0.0613,75000
0,0.0051,35000
0,0.1574,25000
0,0.2413,150000
0,0.2413,45000
0,0.0023,35000
0,0.0276,35000
0,0.0276,35000
0,0.0051,35000
0,0.0276,45000
0,0.2601,55000
0,0.2601,75000
0,0.2601,65000
0,0.023,25000
0,0.1491,55000
0,0.0276,35000
0,0.0276,55000
0,0.0276,25000
0,0.0276,15000
0,0.0014,35000
0,0.2601,85000
0,0.0897,65000
0,0.0276,75000
0,0.1643,95000
0,0.2601,95000
0,0.0276,35000
0,0.2601,35000
0,0.2601,45000
0,0.2601,75000
0,0.2601,55000
0,0.0238,45000
0,0.0897,25000
0,0.1574,45000
0,0.0102,65000
0,0.0023,150000
0,0.0559,25000
0,0.0023,35000
0,0.0613,65000
0,0.1574,85000
0,0.1574,45000
0,0.0531,45000
0,0.0023,55000
0,0.0023,35000
0,0.0361,5000
0,0.0023,35000
0,0.1574,25000
0,0.2413,35000
0,0.0023,115000
0,0.0897,25000
0,0.0361,35000
0,0.0051,15000
0,0.0023,25000
0,0.2413,35000
0,0.2413,35000
0,0.1665,55000
0,0.0156,45000
0,0.0613,55000
0,0.2601,85000
0,0.0023,35000
0,0.0014,75000
0,0.1491,35000
0,0.0361,45000
0,0.0023,65000
0,0.0238,65000
0,0.1665,55000
0,0.0897,65000
0,0.1643,55000
0,0.0023,35000
0,0.0499,55000
0,0.1574,45000
0,0.1643,55000
0,0.0156,75000
0,0.0014,15000
0,0.0971,25000
0,0.2413,85000
0,0.0023,75000
0,0.1665,75000
0,0.2413,45000
0,0.1574,85000
0,0.0361,95000
0,0.0361,75000
0,0.0361,75000
0,0.0613,35000
0,0.0361,35000
0,0.2413,65000
0,0.0023,45000
0,0.1574,45000
0,0.2413,150000
0,2.00E-04,45000
0,0.0613,45000
0,0.0023,25000
0,0.2413,35000
0,0.1491,35000
0,0.0023,75000
0,0.1574,65000
0,0.0023,35000
0,0.0613,55000
0,0.0023,45000
0,0.0156,105000
0,0.0051,35000
0,0.0156,35000
0,0.1574,55000
0,0.0143,75000
0,0.0023,35000
0,0.0156,55000
0,0.0361,65000
0,0.0361,85000
0,0.1574,55000
0,0.2413,25000
0,0.0613,125000
0,0.0361,85000
0,0.0613,150000
0,0.2413,35000
0,0.2413,150000
0,0.1574,45000
0,0.0238,65000
0,0.1574,150000
0,0.0361,55000
0,0.0023,105000
0,0.2413,75000
0,0.0023,35000
0,0.0361,35000
0,0.0156,150000
0,0.0108,75000
0,0.2413,115000
0,0.0023,150000
0,0.0613,35000
0,0.0102,45000
0,0.1574,25000
0,0.0156,55000
0,0.0238,150000
0,0.2413,65000
0,0.0102,25000
0,0.0143,55000
0,0.0102,150000
0,0.0143,55000
0,0.0108,35000
0,0.0143,45000
0,0.0559,85000
0,0.0102,45000
0,0.0102,85000
0,0.0102,85000
0,0.0143,55000
0,0.0102,55000
0,0.0143,55000
0,0.0143,55000
0,0.0102,45000
0,0.0897,65000
0,0.0016,75000
0,0.0143,75000
0,0.0559,55000
0,0.0559,55000
0,0.0143,55000
0,0.2339,25000
0,0.0559,105000
0,0.0143,65000
0,0.0732,55000
0,0.0143,85000
0,0.0559,65000
0,0.0897,45000
0,0.0559,85000
0,0.0108,55000
0,0.0897,45000
0,0.0143,25000
0,0.0897,45000
0,0.0102,105000
0,0.0897,25000
0,0.0102,45000
0,0.0102,85000
0,0.0102,135000
0,0.0143,45000
0,0.0102,65000
0,0.1082,65000
0,0.0361,25000
0,0.0897,65000
0,0.0559,65000
0,0.0732,35000
0,0.0143,55000
0,0.0108,45000
0,0.0108,65000
0,0.0559,15000
0,0.0143,35000
0,0.0102,15000
0,0.0143,25000
0,0.0897,75000
0,0.0143,150000
0,0.0143,15000
0,0.0143,125000
0,0.0102,75000
0,0.0102,55000
0,0.0732,150000
0,0.0102,105000
0,0.0559,45000
0,0.0143,25000
0,0.1082,35000
0,0.0143,65000
0,0.0559,45000
0,0.1082,25000
0,0.0559,5000
0,0.0143,55000
0,0.0732,15000
0,0.0143,65000
0,0.0143,15000
0,0.0143,105000
0,0.0102,35000
0,0.1082,65000
0,0.0559,35000
0,0.0143,85000
0,0.0022,5000
0,0.6817,35000
0,0.6817,15000
0,0.6817,85000
0,0.7369,5000
0,0.0531,75000
0,0.7369,35000
0,0.0531,85000
0,0.0531,35000
0,0.6817,5000
0,0.6817,25000
0,0.6817,85000
0,0.0531,35000
0,0.7369,35000
0,0.0531,25000
0,0.0143,25000
0,0.6817,35000
0,0.0531,15000
0,0.0143,45000
0,0.6817,35000
0,0.0531,35000
0,0.6817,75000
0,0.6817,75000
0,0.0531,55000
0,0.0531,15000
0,0.0531,25000
0,0.6817,45000
0,0.0361,55000
0,0.7369,15000
0,0.6817,25000
0,0.7369,45000
0,0.7369,25000
0,0.6817,85000
0,0.0531,150000
0,0.7369,55000
0,0.7369,35000
0,0.6817,35000
0,0.6817,15000
0,0.7369,105000
0,0.7369,45000
0,0.6817,65000
0,0.6817,65000
0,0.6817,55000
0,0.7369,55000
0,0.0531,35000
0,0.6817,35000
0,0.6817,45000
0,0.6817,115000
0,0.0531,45000
0,0.0531,15000
0,0.6817,55000
0,0.6817,15000
0,0.0531,45000
0,0.7369,45000
0,0.6817,25000
0,0.6817,75000
0,0.6817,35000
0,0.0531,15000
0,0.6817,35000
0,0.0531,45000
0,0.0531,5000
0,0.0531,55000
0,0.6817,45000
0,0.0531,150000
0,0.6817,25000
0,0.0143,45000
0,0.0531,65000
0,0.6817,25000
0,0.0102,65000
0,0.0102,35000
0,0.0143,45000
0,0.0102,25000
0,0.0897,15000
0,0.7369,35000
0,0.0143,75000
0,0.0531,15000
0,0.6817,15000
0,0.7369,35000
0,0.7369,45000
0,0.0531,65000
0,0.6817,55000
0,0.7369,35000
0,0.6817,45000
0,0.7369,45000
0,0.6817,25000
0,0.0897,75000
0,0.7369,35000
0,0.1082,45000
0,0.7369,15000
0,0.0143,45000
0,0.7369,150000
0,0.0531,55000
0,0.6817,150000
0,0.6817,15000
0,0.7369,35000
0,0.6817,25000
0,0.0531,25000
0,0.0531,35000
0,0.0531,55000
0,0.7369,150000
0,0.0732,35000
0,0.7369,75000
0,0.0531,25000
0,0.7369,95000
0,0.6817,55000
0,0.0102,25000
0,0.7369,45000
0,0.6817,55000
0,0.6817,55000
0,0.0156,35000
0,0.0361,45000
0,0.6817,55000
0,0.0102,45000
0,0.0531,55000
0,0.1574,5000
0,0.0559,55000
0,0.0143,55000
0,0.0531,55000
0,0.0102,150000
0,0.2413,65000
0,0.0108,105000
0,0.0102,55000
0,0.6817,75000
1,0.5391,85000
1,0.4671,15000
1,0.3975,55000
1,0.0209,25000
1,0.0058,95000
1,0.0046,105000
1,0.3087,35000
1,0.6456,35000
1,0.0058,15000
1,0.0058,35000
1,0.0046,35000
1,0.3087,55000
1,0.4216,35000
1,0.0058,25000
1,1.0905,35000
1,2.3101,45000
1,1.0266,55000
1,1.0266,85000
1,1.0266,15000
1,0.0058,45000
1,0.3087,55000
1,0.0046,25000
1,0.0058,35000
1,1.0266,35000
1,0.4216,45000
1,1.0266,15000
1,0.3975,45000
1,0.0209,25000
1,0.3975,95000
1,0.4216,35000
1,0.0058,15000
1,0.2773,35000
1,0.6456,75000
1,0.0058,45000
1,0.4671,65000
1,0.0209,85000
1,0.0209,65000
1,0.1726,75000
1,0.2377,35000
1,0.6456,25000
1,0.1726,95000
1,0.3975,105000
1,2.3014,85000
1,0.1726,55000
1,0.2377,25000
1,0.1726,15000
1,0.6456,75000
1,0.4671,45000
1,0.0209,45000
1,1.0266,35000
1,0.0041,85000
1,1.0905,35000
1,0.0209,105000
1,0.1726,45000
1,0.6456,75000
1,0.2377,45000
1,0.6456,45000
1,0.4216,15000
1,1.0266,55000
1,0.3975,5000
1,0.2377,55000
1,0.0046,45000
1,0.2773,95000
1,0.0058,55000
1,0.0058,45000
1,0.0058,45000
1,0.0058,15000
1,0.0046,65000
1,1.0266,45000
1,1.0266,55000
1,1.0266,45000
1,2.3014,35000
1,0.4216,75000
1,0.5391,55000
1,0.0058,45000
1,0.4216,45000
1,1.0905,35000
1,0.6456,45000
1,0.324,35000
1,1.0266,35000
1,1.0266,45000
1,1.0266,25000
1,0.4216,55000
1,0.0209,75000
1,0.3087,115000
1,1.0266,55000
1,0.0209,15000
1,1.0266,45000
1,0.3975,55000
1,0.2377,15000
1,0.1176,5000
1,0.4216,105000
1,1.0266,25000
1,0.0029,65000
1,1.0266,15000
1,2.3014,95000
1,0.0058,75000
1,0.2421,15000
1,1.0266,5000
1,0.0058,25000
1,0.0058,65000
1,0.0058,45000
1,1.0266,105000
1,0.0058,55000
1,0.1648,55000
1,0.4671,65000
1,0.4216,55000
1,0.0209,15000
1,0.1648,45000
1,0.5391,45000
1,0.2421,35000
1,0.2421,55000
1,0.5391,85000
1,0.2421,25000
1,0.1648,15000
1,0.2421,65000
1,0.5391,65000
1,0.1648,35000
1,0.0029,35000
1,0.0029,45000
1,0.1648,45000
1,0.0029,65000
1,1.0266,35000
1,0.1648,35000
1,0.3087,65000
1,0.1648,55000
1,0.4216,25000
1,0.2421,35000
1,1.0266,15000
1,0.1648,15000
1,0.5391,55000
1,0.5391,105000
1,1.0266,65000
1,1.0266,55000
1,0.1648,45000
1,0.1648,65000
1,0.0029,45000
1,0.2421,35000
1,0.5391,35000
1,0.0046,25000
1,0.4671,55000
1,0.2421,35000
1,0.5391,55000
1,0.0029,35000
1,0.0041,25000
1,0.1648,25000
1,0.2421,75000
1,0.5391,55000
1,0.0029,55000
1,0.3087,35000
1,0.0029,25000
1,0.5391,65000
1,0.1648,65000
1,0.5391,55000
1,0.4216,75000
1,0.0052,35000
1,0.0041,85000
1,0.6456,25000
1,0.0209,15000
1,0.4216,15000
1,0.0058,65000
1,0.4216,25000
1,0.2421,5000
1,0.5391,45000
1,1.0266,55000
1,0.1726,35000
1,1.0266,5000
1,0.0058,35000
1,1.0266,65000
1,0.2377,75000
1,0.6456,35000
1,1.0266,105000
1,0.5391,35000
1,0.3975,55000
1,2.3014,25000
1,0.2421,45000
1,0.6456,45000
1,0.4216,55000
1,0.0046,45000
1,0.0058,45000
1,0.0058,45000
1,0.0046,35000
1,0.4216,45000
1,0.0058,65000
1,0.0029,25000
1,0.0058,45000
1,0.6456,55000
1,0.1648,65000
1,1.0266,45000
1,1.0266,35000
1,0.4216,35000
1,0.3975,35000
1,0.4216,25000
1,0.4216,45000
1,0.3087,25000
1,0.3975,65000
1,1.0266,95000
1,0.3087,25000
1,1.0266,45000
1,0.5391,55000
1,1.0266,105000
1,0.4671,35000
1,0.4216,35000
1,0.2421,95000
1,0.0029,95000
1,0.3087,15000
1,0.3087,115000
1,1.0266,35000
1,1.0266,75000
1,0.0046,45000
1,1.0266,35000
1,0.3087,25000
1,0.0058,45000
1,0.0468,25000
1,0.4216,55000
1,0.2421,35000
1,0.5391,15000
1,0.1648,15000
1,0.6456,45000
1,0.4216,35000
1,0.0046,35000
1,0.4216,25000
1,1.0266,85000
1,0.5391,25000
1,0.3087,55000
1,0.6456,25000
1,0.1726,25000
1,0.0058,25000
1,0.4216,75000
1,1.0266,35000
1,0.2421,15000
1,0.0058,5000
1,0.0209,45000
1,0.0058,55000
1,0.3975,65000
1,0.0468,45000
1,0.0058,55000
1,0.0058,5000
1,0.0052,35000
1,2.3014,45000
1,0.5391,150000
1,0.4216,25000
1,1.0266,55000
1,2.3014,35000
1,1.0266,75000
1,1.0266,45000
1,0.0058,35000
1,0.0058,35000
1,0.1648,125000
1,1.0266,25000
1,1.0266,85000
1,0.0046,35000
1,0.3087,45000
1,1.0266,15000
1,0.0046,35000
1,0.0058,35000
1,0.4216,85000
1,0.0058,65000
1,0.3975,85000
1,1.0266,45000
1,1.0266,25000
1,0.3975,25000
1,0.3087,35000
1,0.4216,15000
1,0.4216,25000
1,0.0046,35000
1,0.4216,65000
1,0.0052,75000
1,0.3975,35000
1,0.0046,115000
1,0.4216,25000
1,0.4216,55000
1,1.0266,75000
1,0.0058,45000
1,0.3087,65000
1,0.0046,35000
1,0.0058,25000
1,0.0058,25000
1,0.4216,15000
1,1.0266,65000
1,0.3087,35000
1,0.4671,35000
1,0.0058,45000
1,1.0266,35000
1,0.0468,65000
1,0.4216,105000
1,0.3975,95000
1,0.0468,45000
1,0.3087,65000
1,1.0266,125000
1,1.0905,35000
1,0.4216,55000
1,0.3975,55000
1,0.4216,25000
1,0.4216,125000
1,0.1726,25000
1,1.0266,85000
1,1.0905,35000
1,0.0209,105000
1,1.0905,55000
1,0.2377,35000
1,1.0905,75000
1,0.6456,15000
1,0.0209,25000
1,0.1176,45000
1,1.0905,95000
1,2.3014,75000
