date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
2015-01-01,Quarter1,sewing,Thursday,8,0.8,26.16,1108,7080,98,0,0,0,59,1
2015-01-01,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0,0,0,8,1
2015-01-01,Quarter1,sewing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,1
2015-01-01,Quarter1,sewing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,1
2015-01-01,Quarter1,sewing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,1
2015-01-01,Quarter1,sewing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,1
2015-01-01,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0,0,0,8,1
2015-01-01,Quarter1,sewing,Thursday,3,0.75,28.08,795,6900,45,0,0,0,57.5,1
2015-01-01,Quarter1,sewing,Thursday,2,0.75,19.87,733,6000,34,0,0,0,55,1
2015-01-01,Quarter1,sewing,Thursday,1,0.75,28.08,681,6900,45,0,0,0,57.5,1
2015-01-01,Quarter1,sewing,Thursday,9,0.7,28.08,872,6900,44,0,0,0,57.5,0
2015-01-01,Quarter1,sewing,Thursday,10,0.75,19.31,578,6480,45,0,0,0,54,0
2015-01-01,Quarter1,sewing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,0
2015-01-01,Quarter1,finishing ,Thursday,10,0.65,3.94,,960,0,0,0,0,8,0
2015-01-01,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0,0,0,8,0
2015-01-01,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0,0,0,18,0
2015-01-01,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0,0,0,8,0
2015-01-01,Quarter1,sewing,Thursday,4,0.65,23.69,861,7200,0,0,0,0,60,0
2015-01-01,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12,0
2015-01-03,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,1
2015-01-03,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0,0,0,17,1
2015-01-03,Quarter1,finishing ,Saturday,9,0.8,4.15,,960,0,0,0,0,8,1
2015-01-03,Quarter1,finishing ,Saturday,3,0.75,3.94,,1560,0,0,0,0,8,1
2015-01-03,Quarter1,finishing ,Saturday,1,0.8,3.94,,960,0,0,0,0,8,1
2015-01-03,Quarter1,sewing,Saturday,1,0.8,28.08,772,6300,50,0,0,0,56.5,1
2015-01-03,Quarter1,sewing,Saturday,3,0.8,28.08,913,6540,50,0,0,0,54.5,1
2015-01-03,Quarter1,sewing,Saturday,8,0.8,26.16,1261,7080,50,0,0,0,59,1
2015-01-03,Quarter1,sewing,Saturday,12,0.8,26.16,844,7080,63,0,0,0,59,1
2015-01-03,Quarter1,sewing,Saturday,11,0.8,11.61,1005,7080,50,0,0,0,29.5,1
2015-01-03,Quarter1,sewing,Saturday,5,0.8,11.61,659,7080,50,0,0,0,31.5,1
2015-01-03,Quarter1,sewing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,1
2015-01-03,Quarter1,sewing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,1
2015-01-03,Quarter1,sewing,Saturday,10,0.75,19.31,610,6480,56,0,0,0,54,1
2015-01-03,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0,0,0,8,1
2015-01-03,Quarter1,sewing,Saturday,2,0.75,19.87,944,6600,45,0,0,0,55,1
2015-01-03,Quarter1,finishing ,Saturday,10,0.7,4.15,,960,0,0,0,0,8,0
2015-01-03,Quarter1,sewing,Saturday,4,0.7,23.69,544,13800,0,0,0,0,60,0
2015-01-03,Quarter1,sewing,Saturday,9,0.7,28.08,1072,6900,40,0,0,0,57.5,0
2015-01-03,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0,0,0,8,0
